split,image_filename,label_filename,num_objects,classes_present,class_names_present
train,IMG_00001.jpg,IMG_00001.txt,1,2,Car
train,IMG_00002.jpg,IMG_00002.txt,1,2,Car
train,IMG_00003.jpg,IMG_00003.txt,2,2,Car
train,IMG_00004.jpg,IMG_00004.txt,1,2,Car
train,IMG_00005.jpg,IMG_00005.txt,1,2,Car
train,IMG_00006.jpg,IMG_00006.txt,1,2,Car
train,IMG_00007.jpg,IMG_00007.txt,1,2,Car
train,IMG_00008.jpg,IMG_00008.txt,1,2,Car
train,IMG_00009.jpg,IMG_00009.txt,1,11,Manhole
train,IMG_00010.jpg,IMG_00010.txt,1,11,Manhole
train,IMG_00011.jpg,IMG_00011.txt,1,2,Car
train,IMG_00012.jpg,IMG_00012.txt,1,2,Car
train,IMG_00013.jpg,IMG_00013.txt,1,2,Car
train,IMG_00014.jpg,IMG_00014.txt,1,2,Car
train,IMG_00015.jpg,IMG_00015.txt,1,2,Car
train,IMG_00016.jpg,IMG_00016.txt,1,2,Car
train,IMG_00017.jpg,IMG_00017.txt,1,2,Car
train,IMG_00018.jpg,IMG_00018.txt,1,2,Car
train,IMG_00019.jpg,IMG_00019.txt,1,2,Car
train,IMG_00020.jpg,IMG_00020.txt,1,2,Car
train,IMG_00021.jpg,IMG_00021.txt,1,2,Car
train,IMG_00022.jpg,IMG_00022.txt,1,2,Car
train,IMG_00023.jpg,IMG_00023.txt,1,13,Guard rail
train,IMG_00024.jpg,IMG_00024.txt,1,13,Guard rail
train,IMG_00025.jpg,IMG_00025.txt,1,13,Guard rail
train,IMG_00026.jpg,IMG_00026.txt,1,2,Car
train,IMG_00027.jpg,IMG_00027.txt,1,2,Car
train,IMG_00028.jpg,IMG_00028.txt,1,2,Car
train,IMG_00029.jpg,IMG_00029.txt,1,2,Car
train,IMG_00030.jpg,IMG_00030.txt,1,2,Car
train,IMG_00031.jpg,IMG_00031.txt,1,2,Car
train,IMG_00032.jpg,IMG_00032.txt,1,2,Car
train,IMG_00033.jpg,IMG_00033.txt,1,2,Car
train,IMG_00034.jpg,IMG_00034.txt,1,13,Guard rail
train,IMG_00035.jpg,IMG_00035.txt,1,13,Guard rail
train,IMG_00036.jpg,IMG_00036.txt,1,13,Guard rail
train,IMG_00037.jpg,IMG_00037.txt,1,13,Guard rail
train,IMG_00038.jpg,IMG_00038.txt,1,13,Guard rail
train,IMG_00039.jpg,IMG_00039.txt,1,13,Guard rail
train,IMG_00040.jpg,IMG_00040.txt,1,21,Plant Pot
train,IMG_00041.jpg,IMG_00041.txt,1,21,Plant Pot
train,IMG_00042.jpg,IMG_00042.txt,1,21,Plant Pot
train,IMG_00043.jpg,IMG_00043.txt,1,21,Plant Pot
train,IMG_00044.jpg,IMG_00044.txt,1,21,Plant Pot
train,IMG_00045.jpg,IMG_00045.txt,1,21,Plant Pot
train,IMG_00046.jpg,IMG_00046.txt,1,21,Plant Pot
train,IMG_00047.jpg,IMG_00047.txt,1,21,Plant Pot
train,IMG_00048.jpg,IMG_00048.txt,1,21,Plant Pot
train,IMG_00049.jpg,IMG_00049.txt,1,21,Plant Pot
train,IMG_00050.jpg,IMG_00050.txt,1,21,Plant Pot
train,IMG_00051.jpg,IMG_00051.txt,1,21,Plant Pot
train,IMG_00052.jpg,IMG_00052.txt,1,21,Plant Pot
train,IMG_00053.jpg,IMG_00053.txt,1,21,Plant Pot
train,IMG_00054.jpg,IMG_00054.txt,1,21,Plant Pot
train,IMG_00055.jpg,IMG_00055.txt,1,21,Plant Pot
train,IMG_00056.jpg,IMG_00056.txt,1,21,Plant Pot
train,IMG_00057.jpg,IMG_00057.txt,1,21,Plant Pot
train,IMG_00058.jpg,IMG_00058.txt,1,21,Plant Pot
train,IMG_00059.jpg,IMG_00059.txt,1,21,Plant Pot
train,IMG_00060.jpg,IMG_00060.txt,1,21,Plant Pot
train,IMG_00061.jpg,IMG_00061.txt,1,21,Plant Pot
train,IMG_00062.jpg,IMG_00062.txt,1,21,Plant Pot
train,IMG_00063.jpg,IMG_00063.txt,1,21,Plant Pot
train,IMG_00064.jpg,IMG_00064.txt,1,21,Plant Pot
train,IMG_00065.jpg,IMG_00065.txt,1,21,Plant Pot
train,IMG_00066.jpg,IMG_00066.txt,1,21,Plant Pot
train,IMG_00067.jpg,IMG_00067.txt,1,21,Plant Pot
train,IMG_00068.jpg,IMG_00068.txt,1,21,Plant Pot
train,IMG_00069.jpg,IMG_00069.txt,1,21,Plant Pot
train,IMG_00070.jpg,IMG_00070.txt,1,21,Plant Pot
train,IMG_00071.jpg,IMG_00071.txt,1,21,Plant Pot
