image_id,image_name,image_path
IMG_19187,IMG_19187.jpg,dataset/test/images/IMG_19187.jpg
IMG_19188,IMG_19188.jpg,dataset/test/images/IMG_19188.jpg
IMG_19189,IMG_19189.jpg,dataset/test/images/IMG_19189.jpg
IMG_19190,IMG_19190.jpg,dataset/test/images/IMG_19190.jpg
IMG_19191,IMG_19191.jpg,dataset/test/images/IMG_19191.jpg
IMG_19192,IMG_19192.jpg,dataset/test/images/IMG_19192.jpg
IMG_19193,IMG_19193.jpg,dataset/test/images/IMG_19193.jpg
IMG_19194,IMG_19194.jpg,dataset/test/images/IMG_19194.jpg
IMG_19195,IMG_19195.jpg,dataset/test/images/IMG_19195.jpg
IMG_19196,IMG_19196.jpg,dataset/test/images/IMG_19196.jpg
IMG_19197,IMG_19197.jpg,dataset/test/images/IMG_19197.jpg
IMG_19198,IMG_19198.jpg,dataset/test/images/IMG_19198.jpg
IMG_19199,IMG_19199.jpg,dataset/test/images/IMG_19199.jpg
IMG_19200,IMG_19200.jpg,dataset/test/images/IMG_19200.jpg
IMG_19201,IMG_19201.jpg,dataset/test/images/IMG_19201.jpg
IMG_19202,IMG_19202.jpg,dataset/test/images/IMG_19202.jpg
IMG_19203,IMG_19203.jpg,dataset/test/images/IMG_19203.jpg
IMG_19204,IMG_19204.jpg,dataset/test/images/IMG_19204.jpg
IMG_19205,IMG_19205.jpg,dataset/test/images/IMG_19205.jpg
IMG_19206,IMG_19206.jpg,dataset/test/images/IMG_19206.jpg
